age,gender,status
23,female,survived
40,male,died
40,female,died
30,female,survived
28,female,survived
40,female,survived
45,male,survived
62,female,survived
65,female,survived
45,male,survived
25,male,survived
28,female,died
28,female,survived
23,female,survived
22,male,died
23,male,died
28,female,died
15,male,died
47,male,survived
57,female,survived
20,male,died
18,female,died
25,female,survived
60,female,survived
25,female,died
20,female,died
32,female,died
32,male,died
24,male,died
30,female,died
15,female,survived
50,male,survived
21,male,died
25,female,survived
46,female,died
32,male,died
30,female,survived
25,female,survived
25,female,survived
25,female,survived
30,female,survived
35,female,survived
23,female,died
24,female,survived
25,male,died
